Group 1,Group 2,Mean Diff,Abs Diff,p-value,Significant
First-order process with time delay (FOPTD),Second-order process with time delay (SOPTD),0.00666666666666671,0.00666666666666671,0.1271872185910894,False
First-order process with time delay (FOPTD),Third-order process with time delay (TOPTD),0.033333333333333326,0.033333333333333326,2.792603610290989e-05,True
First-order process with time delay (FOPTD),FOPTD + Lead (FOPTDLD),-0.002000000000000113,0.002000000000000113,0.6234396748096818,False
First-order process with time delay (FOPTD),SOPTD + Lead (SOPTDLD),0.0,0.0,1.0,False
Second-order process with time delay (SOPTD),Third-order process with time delay (TOPTD),0.026666666666666616,0.026666666666666616,0.00013676141261487196,True
Second-order process with time delay (SOPTD),FOPTD + Lead (FOPTDLD),-0.008666666666666822,0.008666666666666822,0.05785809707484213,False
Second-order process with time delay (SOPTD),SOPTD + Lead (SOPTDLD),-0.00666666666666671,0.00666666666666671,0.1271872185910894,False
Third-order process with time delay (TOPTD),FOPTD + Lead (FOPTDLD),-0.03533333333333344,0.03533333333333344,1.823040394643982e-05,True
Third-order process with time delay (TOPTD),SOPTD + Lead (SOPTDLD),-0.033333333333333326,0.033333333333333326,2.792603610290989e-05,True
FOPTD + Lead (FOPTDLD),SOPTD + Lead (SOPTDLD),0.002000000000000113,0.002000000000000113,0.6234396748096818,False
