Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Model,FOPTD,FOPTDLD,True,True,2.2978,3.0,two-sided,0.1052,0.7364,holm,1.437,0.7778
Model,FOPTD,SOPTD,True,True,0.255,3.0,two-sided,0.8152,1.0,holm,0.439,0.0291
Model,FOPTD,SOPTDLD,True,True,-3.2803,3.0,two-sided,0.0464,0.4642,holm,2.505,-0.1259
Model,FOPTD,TOPTD,True,True,-1.0017,3.0,two-sided,0.3903,1.0,holm,0.614,-0.0687
Model,FOPTDLD,SOPTD,True,True,-1.7156,3.0,two-sided,0.1847,1.0,holm,0.984,-0.6272
Model,FOPTDLD,SOPTDLD,True,True,-3.0051,3.0,two-sided,0.0574,0.4642,holm,2.168,-0.9615
Model,FOPTDLD,TOPTD,True,True,-3.1596,3.0,two-sided,0.0509,0.4642,holm,2.354,-0.9195
Model,SOPTD,SOPTDLD,True,True,-1.3204,3.0,two-sided,0.2784,1.0,holm,0.754,-0.1423
Model,SOPTD,TOPTD,True,True,-0.7385,3.0,two-sided,0.5137,1.0,holm,0.528,-0.0914
Model,SOPTDLD,TOPTD,True,True,1.4993,3.0,two-sided,0.2307,1.0,holm,0.85,0.0611
