group1,group2,meandiff,p-adj,lower,upper,reject
FOPTD + Lead (FOPTDLD),First-order process with time delay (FOPTD),-0.002,1.0,-0.1149,0.1109,False
FOPTD + Lead (FOPTDLD),SOPTD + Lead (SOPTDLD),-0.002,1.0,-0.1149,0.1109,False
FOPTD + Lead (FOPTDLD),Second-order process with time delay (SOPTD),-0.0087,0.9989,-0.1216,0.1042,False
FOPTD + Lead (FOPTDLD),Third-order process with time delay (TOPTD),-0.0353,0.8362,-0.1482,0.0776,False
First-order process with time delay (FOPTD),SOPTD + Lead (SOPTDLD),0.0,1.0,-0.1129,0.1129,False
First-order process with time delay (FOPTD),Second-order process with time delay (SOPTD),-0.0067,0.9996,-0.1196,0.1062,False
First-order process with time delay (FOPTD),Third-order process with time delay (TOPTD),-0.0333,0.8618,-0.1462,0.0796,False
SOPTD + Lead (SOPTDLD),Second-order process with time delay (SOPTD),-0.0067,0.9996,-0.1196,0.1062,False
SOPTD + Lead (SOPTDLD),Third-order process with time delay (TOPTD),-0.0333,0.8618,-0.1462,0.0796,False
Second-order process with time delay (SOPTD),Third-order process with time delay (TOPTD),-0.0267,0.9315,-0.1396,0.0862,False
