Algorithm,Population Size,Elapsed Time (HH:MM:SS),Elapsed Time (Seconds)
DE,10,00:01:46.57,106.57
DE,20,00:03:29.61,209.61
DE,30,00:05:09.24,309.24
DE,40,00:06:49.55,409.55
DE,50,00:08:38.33,518.33
DE,60,00:10:22.52,622.52
DE,70,00:12:07.95,727.95
DE,80,00:13:44.37,824.37
DE,90,00:15:25.85,925.85
DE,100,00:17:20.66,1040.66
GA,10,00:00:31.40,31.4
GA,20,00:01:18.92,78.92
GA,30,00:02:02.03,122.03
GA,40,00:02:54.65,174.65
GA,50,00:03:38.42,218.42
GA,60,00:04:35.43,275.43
GA,70,00:05:10.28,310.28
GA,80,00:06:06.03,366.03
GA,90,00:06:57.87,417.87
GA,100,00:07:52.35,472.35
PSO,10,00:00:59.10,59.1
PSO,20,00:01:54.70,114.7
PSO,30,00:02:49.25,169.25
PSO,40,00:03:50.28,230.28
PSO,50,00:04:40.87,280.87
PSO,60,00:05:39.56,339.56
PSO,70,00:06:34.96,394.96
PSO,80,00:07:29.76,449.76
PSO,90,00:08:20.20,500.2
PSO,100,00:08:48.08,528.08
