Algorithm,Population Size,Elapsed Time (HH:MM:SS),Elapsed Time (Seconds)
DE,10,00:01:41.93,101.93
DE,20,00:03:22.17,202.17
DE,30,00:05:05.06,305.06
DE,40,00:06:33.76,393.76
DE,50,00:08:16.38,496.38
DE,60,00:09:51.63,591.63
DE,70,00:11:22.78,682.78
DE,80,00:13:06.23,786.23
DE,90,00:14:57.48,897.48
DE,100,00:16:18.31,978.31
GA,10,00:00:34.71,34.71
GA,20,00:01:12.55,72.55
GA,30,00:01:58.85,118.85
GA,40,00:02:42.29,162.29
GA,50,00:03:26.10,206.1
GA,60,00:04:20.93,260.93
GA,70,00:05:09.12,309.12
GA,80,00:06:05.12,365.12
GA,90,00:06:51.56,411.56
GA,100,00:07:41.70,461.7
PSO,10,00:00:56.20,56.2
PSO,20,00:01:48.18,108.18
PSO,30,00:02:40.84,160.84
PSO,40,00:03:40.29,220.29
PSO,50,00:04:32.55,272.55
PSO,60,00:05:27.28,327.28
PSO,70,00:06:26.33,386.33
PSO,80,00:07:15.96,435.96
PSO,90,00:08:08.27,488.27
PSO,100,00:08:31.34,511.34
